Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,RMSE,MAE
CardioForest,1,0.9484,0.883075082,0.951066499,0.775844422,0.854565953,0.884363604,0.251277373,0.190894043
,2,0.952,0.885139599,0.950928382,0.779347826,0.856630824,0.891321531,0.246827624,0.18926961
,3,0.9472,0.879169147,0.934980494,0.770632369,0.844888367,0.872227673,0.25435399,0.192631041
,4,0.9558,0.890609897,0.949315068,0.790193843,0.862476665,0.889320443,0.242595921,0.188452525
,5,0.9478,0.879028035,0.946753247,0.768177028,0.848167539,0.88015526,0.252222666,0.19136822
,6,0.9516,0.889387335,0.939897698,0.790322581,0.85864486,0.889860374,0.249007959,0.190318725
,7,0.9568,0.901709175,0.954489545,0.812565445,0.877828054,0.900722371,0.241457294,0.187062261
,8,0.945,0.877461947,0.936868687,0.767321613,0.843661171,0.87275825,0.256696882,0.19281377
,9,0.9544,0.893996168,0.947435897,0.798056156,0.866354045,0.900915408,0.244734536,0.188677701
,10,0.9532,0.892506637,0.948101266,0.795116773,0.864896074,0.884300127,0.246240657,0.188985499
XGBoost,1,0.8668,0.68473473,0.851015801,0.385875128,0.530985915,0.842939561,0.312358145,0.20685561
,2,0.891,0.721483376,0.908496732,0.45326087,0.604786077,0.857581122,0.29413596,0.194210172
,3,0.8838,0.710525941,0.884279476,0.434083601,0.582314881,0.838856443,0.306670218,0.205378026
,4,0.8966,0.733971842,0.868852459,0.483466363,0.621245421,0.853704543,0.292872235,0.198772952
,5,0.8814,0.710158727,0.88034188,0.434141201,0.581510233,0.841574587,0.308053231,0.202913836
,6,0.8872,0.723320388,0.870445344,0.462365591,0.603932584,0.855151251,0.300870523,0.200893492
,7,0.8862,0.718892175,0.910638298,0.448167539,0.600701754,0.869126127,0.295996722,0.199951589
,8,0.872,0.69659564,0.850107066,0.410548087,0.553695955,0.838902478,0.312399717,0.207820818
,9,0.8916,0.725701414,0.906779661,0.462203024,0.61230329,0.866132329,0.295000142,0.197869122
,10,0.8812,0.709575277,0.870212766,0.43418259,0.579320113,0.847279469,0.304034757,0.203201398
LightGBM,1,0.8372,0.63766658,0.683972912,0.31013306,0.426760563,0.771674947,0.351450273,0.246100417
,2,0.8504,0.650303708,0.694570136,0.333695652,0.450807636,0.780088182,0.339869388,0.236650367
,3,0.8334,0.625033502,0.612107623,0.292604502,0.395939086,0.765996857,0.353028976,0.245937332
,4,0.8522,0.64151694,0.66507177,0.316989738,0.429343629,0.790371117,0.335494485,0.234540687
,5,0.839,0.634772171,0.665137615,0.305584826,0.418772563,0.765537604,0.35013639,0.244199586
,6,0.8464,0.648070064,0.677631579,0.332258065,0.445887446,0.789066207,0.341805012,0.238731384
,7,0.842,0.64318045,0.683741648,0.321465969,0.437321937,0.788121331,0.344916338,0.242382741
,8,0.839,0.645085619,0.670886076,0.32885212,0.441360167,0.774701012,0.349676223,0.245079374
,9,0.8524,0.657420337,0.706140351,0.347732181,0.465991317,0.801336585,0.335514799,0.234810662
,10,0.8408,0.642298665,0.657327586,0.323779193,0.433854908,0.773158627,0.347297609,0.244052581
GradientBoosting,1,0.93,0.860016268,0.878166466,0.745138178,0.80620155,0.876310244,0.275703509,0.196533959
,2,0.952,0.885139599,0.950928382,0.779347826,0.856630824,0.888175218,0.237860914,0.163107585
,3,0.8802,0.689316621,0.934895833,0.384780279,0.545178436,0.842998215,0.295163466,0.211897167
,4,0.9486,0.870085382,0.946685879,0.749144812,0.83640993,0.893409085,0.242319914,0.165661638
,5,0.8486,0.619314098,0.840425532,0.249736565,0.385052803,0.79314335,0.343568679,0.254912706
,6,0.9514,0.8888497,0.939820743,0.789247312,0.857977791,0.888969116,0.248404901,0.17665235
,7,0.9568,0.901709175,0.954489545,0.812565445,0.877828054,0.899587753,0.224961985,0.153220139
,8,0.945,0.877461947,0.936868687,0.767321613,0.843661171,0.876973218,0.234555587,0.143426632
,9,0.8862,0.703612489,0.936430318,0.413606911,0.573782772,0.86630158,0.305376512,0.223387009
,10,0.9532,0.892506637,0.948101266,0.795116773,0.864896074,0.888746928,0.228012208,0.151414387
