Model,Parameter,Value
CardioForest,n_estimators,1000
CardioForest,max_depth,20
CardioForest,min_samples_split,5
CardioForest,min_samples_leaf,2
CardioForest,max_features,0.6
CardioForest,class_weight,balanced
CardioForest,random_state,42
CardioForest,n_jobs,-1
CardioForest,bootstrap,True
CardioForest,oob_score,True
CardioForest,ccp_alpha,0.01
XGBoost,n_estimators,10
XGBoost,max_depth,2
XGBoost,learning_rate,0.5
XGBoost,subsample,0.4
XGBoost,colsample_bytree,0.2
XGBoost,random_state,42
XGBoost,gamma,3
XGBoost,reg_alpha,2
XGBoost,reg_lambda,2
LightGBM,n_estimators,5
LightGBM,max_depth,1
LightGBM,learning_rate,0.8
LightGBM,subsample,0.3
LightGBM,colsample_bytree,0.1
LightGBM,random_state,42
LightGBM,min_child_samples,50
LightGBM,reg_alpha,3
LightGBM,reg_lambda,3
GradientBoosting,n_estimators,3
GradientBoosting,max_depth,2
GradientBoosting,learning_rate,0.4
GradientBoosting,subsample,0.5
GradientBoosting,min_samples_split,9
GradientBoosting,min_samples_leaf,10
GradientBoosting,max_features,0.3
GradientBoosting,validation_fraction,0.1
GradientBoosting,n_iter_no_change,2
