Simulation,Model,Accuracy,F1_Score,R2_Score,RMSE,MAE,ROC_AUC
1,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
1,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
1,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
1,GradientBoosting,1.0,1.0,1.0,0.0,0.0,1.0
2,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
2,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
2,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
2,GradientBoosting,1.0,1.0,1.0,0.0,0.0,1.0
3,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
3,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
3,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
3,GradientBoosting,1.0,1.0,1.0,0.0,0.0,1.0
4,XGBoost,0.99995,0.999949999999875,0.9998,0.007071067811865475,5e-05,1.0
4,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
4,RandomForest,0.9999,0.9998999999989999,0.9996,0.01,0.0001,0.9999999599999999
4,GradientBoosting,0.99975,0.999749999999375,0.999,0.015811388300841896,0.00025,0.99999994
5,XGBoost,0.99995,0.999949999999875,0.9998,0.007071067811865475,5e-05,1.0
5,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
5,RandomForest,0.99995,0.999949999999875,0.9998,0.007071067811865475,5e-05,1.0
5,GradientBoosting,1.0,1.0,1.0,0.0,0.0,1.0
6,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
6,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
6,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
6,GradientBoosting,0.99995,0.999949999999875,0.9998,0.007071067811865475,5e-05,0.99999996
7,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
7,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
7,RandomForest,0.9999,0.9998999999989999,0.9996,0.01,0.0001,1.0
7,GradientBoosting,0.99995,0.999949999999875,0.9998,0.007071067811865475,5e-05,1.0
8,XGBoost,1.0,1.0,1.0,0.0,0.0,1.0
8,LightGBM,1.0,1.0,1.0,0.0,0.0,1.0
8,RandomForest,1.0,1.0,1.0,0.0,0.0,1.0
